,Unnamed: 0,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,material.variable,material,variable,response,bh_neg_ans1,bh_neg_ans2,bh_neg_ans3,bh_neg_ans4,bh_neg_ans5,bh_neg_ans6,bh_neg_ans7,bh_neg_ans8,other,bh_pos_ans1,bh_pos_ans2,bh_pos_ans3,bh_pos_ans4,bh_pos_ans5,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
47,1246,0.7811778290000001-->0.779343056,5f5b8fac54e29c2e62f93a6e,5ed7f8500e41402d24c455e7,APPROVED,54:45.0,25:02.2,1817.17,23,41:24.5,510FA8B2,United Kingdom,Female,42,"Sep 11, 2020 10:54:46 am","Sep 11, 2020 11:25:00 am",Complete,0,0,0,English,0,1599836086_5f5b8fb6b227f1.36925213,positive,absent,5ed7f8500e41402d24c455e7,bill_holiday.response,bill_holiday,response,His luggage came back.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
48,1290,0.6885998790000001-->0.011768613999999998,5f5b66708901d82898043803,59836c8b06cd1f0001f8e111,APPROVED,58:40.3,18:25.8,1185.42,39,16:25.0,4DE9B385,United Kingdom,Female,33,"Sep 11, 2020 7:58:43 am","Sep 11, 2020 8:18:21 am",Complete,0,0,0,English,0,1599825523_5f5b66733b8d04.15345075,positive,present,59836c8b06cd1f0001f8e111,bill_holiday.response,bill_holiday,response,Something happens at work and he is swamped again. ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
49,1305,0.430831481-->0.17706014,5f5b675555ee7f2986ad534c,5360c37cfdf99b02ccc08fcb,APPROVED,02:31.8,14:55.4,743.582,28,16:54.1,4DE9B385,United Kingdom,Female,43,"Sep 11, 2020 8:02:34 am","Sep 11, 2020 8:14:53 am",Complete,0,0,0,English,0,1599825754_5f5b675a04d780.46965082,positive,present,5360c37cfdf99b02ccc08fcb,bill_holiday.response,bill_holiday,response,Bill realises his passport is not in his suitcase anymore. ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
50,1312,0.089955373-->0.073111207,5f5b8277edd1f72c084730d3,5efcd984f7176d0e6a59dd17,APPROVED,58:15.5,07:33.8,558.259,33,17:01.4,4DE9B385,United Kingdom,Female,59,"Sep 11, 2020 9:58:18 am","Sep 11, 2020 10:07:32 am",Complete,0,0,0,English,0,1599832698_5f5b827a850e54.39365824,positive,present,5efcd984f7176d0e6a59dd17,bill_holiday.response,bill_holiday,response,Bill can't find his passport to get home,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
51,1172,0.550905664-->0.656419552,5f5cefc826f9005062dfef45,5b0fe699e9270900013c0882,APPROVED,57:01.3,11:28.4,867.163,37,10:08.6,3833C7F5,United Kingdom,Female,29,"Sep 12, 2020 11:57:04 am","Sep 12, 2020 12:11:26 pm",Complete,0,0,0,English,0,1599926223_5f5cefcfed1770.29529231,negative,absent,5b0fe699e9270900013c0882,bill_holiday.response,bill_holiday,response,he finds his luggage at an expensive hotel and they allow him to stay for the rest of his stay,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
52,1182,0.210733824-->0.059979646,5f5cf03c2f9ff7503b889485,5c54b2e0cf1cd900018cf6a6,APPROVED,00:19.0,14:37.2,858.162,45,10:30.6,3833C7F5,United Kingdom,Male,42,"Sep 12, 2020 12:00:23 pm","Sep 12, 2020 12:14:33 pm",Complete,0,0,0,English,0,1599926423_5f5cf097943926.71390799,negative,absent,5c54b2e0cf1cd900018cf6a6,bill_holiday.response,bill_holiday,response,He wins the lottery and can retire and have as many holidays as he likes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
53,1121,0.557869406-->0.33931904799999996,5f5bc4a3829f793598e4c44f,5d4b36bf137506001bb6b366,APPROVED,40:39.5,49:15.5,516.01,33,58:48.2,40D80FA4,United Kingdom,Female,25,"Sep 11, 2020 2:40:41 pm","Sep 11, 2020 2:49:13 pm",Complete,0,0,0,English,0,1599849641_5f5bc4a99597f7.37505522,negative,present,5d4b36bf137506001bb6b366,bill_holiday.response,bill_holiday,response,He lost his suitcase,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
54,1129,0.652876505-->0.066356795,5f5bc55cc9d65f35671e256b,5f2ac77688f11d39a0aaf463,APPROVED,43:43.3,00:36.7,1013.353,25,59:05.3,40D80FA4,United Kingdom,Female,32,"Sep 11, 2020 2:43:45 pm","Sep 11, 2020 3:00:32 pm",Complete,0,0,0,English,0,1599849825_5f5bc5615936b0.06517201,negative,present,5f2ac77688f11d39a0aaf463,bill_holiday.response,bill_holiday,response,"Throughout his time on holiday, the whole week he had been there, the weather was awful and their accommodation was terrible. However, on the penultimate day he bumped into an old friend, who invited him round to his. His house was a huge mansion, Bill could stay there for the night.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
55,1269,0.342253631-->0.7843608740000001,5f5b653da5d80827ab014ce4,5c631c65787ee80001ffba5e,APPROVED,53:37.9,08:52.7,914.781,48,15:23.6,4DE9B385,United Kingdom,Female,12,"Sep 11, 2020 7:53:55 am","Sep 11, 2020 8:08:49 am",Complete,0,0,0,English,0,1599825235_5f5b65534fc858.61417286,positive,present,5c631c65787ee80001ffba5e,bill_holiday.response,bill_holiday,response,He bumps into a friend he hasn't seen for a few years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
56,1279,0.614557645-->0.828249,5f5b65c17b278528e1ea1c08,5f4524a7cd108b0925b0d08c,APPROVED,55:48.5,30:24.2,2075.72,23,15:45.1,4DE9B385,United Kingdom,Male,20,"Sep 11, 2020 7:55:53 am","Sep 11, 2020 8:30:18 am",Complete,0,0,0,English,0,1599825353_5f5b65c993b3b7.99167318,positive,present,5f4524a7cd108b0925b0d08c,bill_holiday.response,bill_holiday,response,"He is in the airport, ready to fly back home and start work again on Monday. As he gets to Passport Control, he rummages through his suitcase but cannot find his passport. Holding up the queue now, he calls out for help, however security do not help and escort him away. This was not the end to the holiday he had planned",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
57,1130,0.988241475-->0.09926351,5f5bc56876b36636cc45410f,5e9b6317fab83b069d085560,APPROVED,43:53.8,48:17.1,263.302,20,59:07.3,40D80FA4,United Kingdom,Male,33,"Sep 11, 2020 2:43:55 pm","Sep 11, 2020 2:48:15 pm",Complete,0,0,0,English,0,1599849835_5f5bc56bb04210.70946207,negative,present,5e9b6317fab83b069d085560,bill_holiday.response,bill_holiday,response,He gets to claim compensation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
58,1144,0.7630739390000001-->0.470387678,5f5bc606d9799436b0249349,5bd7b4053dac81000124b592,APPROVED,50:01.2,16:45.5,1604.296,37,59:35.6,40D80FA4,Ireland,Female,56,"Sep 11, 2020 2:50:04 pm","Sep 11, 2020 3:16:41 pm",Complete,0,0,0,English,0,1599850204_5f5bc6dccc0a91.73138587,negative,present,5bd7b4053dac81000124b592,bill_holiday.response,bill_holiday,response,"After his luggage being delayed, he discovers his passport is no longer in his suitcase and has either been lost, or stolen. ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
59,1103,0.108789038-->0.5628602620000001,5f5bc33de742b5368eb1fec9,5f219d5c62e3b6591773267f,APPROVED,34:40.4,01:40.4,1619.974,29,58:12.9,40D80FA4,United Kingdom,Female,9,"Sep 11, 2020 2:34:41 pm","Sep 11, 2020 3:01:37 pm",Complete,0,0,0,English,0,1599849281_5f5bc341b55a39.80856004,negative,present,5f219d5c62e3b6591773267f,bill_holiday.response,bill_holiday,response,"When he opens his suitcase, he finds someone else's things in his case. He's having a rotten time, he hated the flight, he's scared of flying. His luggage was delayed and now he has the wrong case?! how can this be? After liaising with the airline, he finds the person who has taken his case. It's the woman of his dreams. Maybe this holiday wasn't so terrible after all.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
60,1200,0.117973125-->0.517536894,5f5d2b5c47755956e9649433,5dbd96bc80dbee2c71a8c9d6,APPROVED,11:08.7,23:19.4,730.744,23,26:22.6,3833C7F5,United Kingdom,Female,58,"Sep 12, 2020 4:11:10 pm","Sep 12, 2020 4:23:17 pm",Complete,0,0,0,English,0,1599941470_5f5d2b5e404ad8.56874843,negative,absent,5dbd96bc80dbee2c71a8c9d6,bill_holiday.response,bill_holiday,response,"His luggage is found and returned to him, right at the end of the holiday",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
61,1214,0.826802266-->0.413515166,5f5b8dff46102f2dad99bafe,5d45e3bdf1d31800163cf999,APPROVED,47:30.2,11:12.3,1422.142,20,40:22.1,510FA8B2,United Kingdom,Female,10,"Sep 11, 2020 10:47:31 am","Sep 11, 2020 11:11:09 am",Complete,0,0,0,English,0,1599835651_5f5b8e03935e51.18482482,positive,absent,5d45e3bdf1d31800163cf999,bill_holiday.response,bill_holiday,response,His luggage on the return flight gets swapped with someone else who had his original luggage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
62,1261,0.7698851290000001-->0.641150941,5f5b646bf7a8c729929e42cf,5f0f226b649b4d06a15e63b8,APPROVED,50:07.0,57:10.6,423.578,46,15:06.9,4DE9B385,United Kingdom,Female,4,"Sep 11, 2020 7:50:08 am","Sep 11, 2020 7:57:08 am",Complete,0,0,0,English,0,1599825008_5f5b6470cf2588.26848925,positive,present,5f0f226b649b4d06a15e63b8,bill_holiday.response,bill_holiday,response,The girl he met actually called him back. ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
63,1252,0.527381807-->0.8748564959999999,5f5b8ff40b08972eeffed67c,5e540b9b25baaf40438073bb,APPROVED,55:59.1,40:56.3,2697.241,58,41:36.4,510FA8B2,United Kingdom,Female,55,"Sep 11, 2020 10:56:04 am","Sep 11, 2020 11:40:54 am",Complete,0,0,0,English,0,1599836163_5f5b9003d82e50.38804062,positive,absent,5e540b9b25baaf40438073bb,bill_holiday.response,bill_holiday,response,Bill's holiday is in Fiji and he is so outraged by the range plastics he sees washed up on such a beautiful beach that he starts collecting them and connecting them together to make make plastic shelters that he gives to other travellers he meets. They form a bottle-collecting collective and each decide to stay on Fiji rather than return to their homes. Bill's luggage is never found and he doesn't mind one bit. ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
64,1284,0.040042791-->0.458511038,5f5b65fd1a328c28d73f4b5c,5e39769ea9cf94187e49eed5,APPROVED,56:45.3,01:14.8,269.534,31,16:12.3,4DE9B385,United Kingdom,Female,25,"Sep 11, 2020 7:56:47 am","Sep 11, 2020 8:01:12 am",Complete,0,0,0,English,0,1599825407_5f5b65ff65c4a0.87536722,positive,present,5e39769ea9cf94187e49eed5,bill_holiday.response,bill_holiday,response,He breaks his leg and can't fly home.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
65,1134,0.5375847810000001-->0.990959024,5f5bc5c573b827360445d9fc,5decc61a488cde39be161a91,APPROVED,45:33.6,55:37.2,603.607,60,59:15.1,40D80FA4,United Kingdom,Male,42,"Sep 11, 2020 2:45:35 pm","Sep 11, 2020 2:55:35 pm",Complete,0,0,0,English,0,1599849935_5f5bc5cf589d97.53927342,negative,present,5decc61a488cde39be161a91,bill_holiday.response,bill_holiday,response,He was given an extra week holiday because of the luggage delay,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
66,1259,0.934827097-->0.522471858,5f5b63aa5259ed28e139fff0,5c802134433e2d00172ac5d1,APPROVED,46:53.4,52:17.4,324.032,22,15:02.7,4DE9B385,United Kingdom,Female,2,"Sep 11, 2020 7:46:54 am","Sep 11, 2020 7:52:14 am",Complete,0,0,0,English,0,1599824814_5f5b63aeb478a4.21186435,positive,present,5c802134433e2d00172ac5d1,bill_holiday.response,bill_holiday,response,He loses his passport,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
67,1219,0.07022197-->0.8616061190000001,5f5b8e273b10e42dd267df3f,579ccf9ebaec1b0001698960,APPROVED,48:07.5,03:52.0,944.555,39,40:31.7,510FA8B2,United Kingdom,Female,16,"Sep 11, 2020 10:48:10 am","Sep 11, 2020 11:03:44 am",Complete,0,0,0,English,0,1599835690_5f5b8e2a282ba3.19552726,positive,absent,579ccf9ebaec1b0001698960,bill_holiday.response,bill_holiday,response,Bill has a holiday romance.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
68,1221,0.471769137-->0.580901089,5f5b8e2ea5a7ae2e779a52f0,5c484b16c41b2a000183c837,APPROVED,48:18.2,05:02.6,1004.417,34,40:35.7,510FA8B2,United Kingdom,Male,18,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:05:00 am",Complete,0,0,0,English,0,1599835700_5f5b8e34122b37.47798905,positive,absent,5c484b16c41b2a000183c837,bill_holiday.response,bill_holiday,response,bill remembers that he didnt pack his passport in his case. it was actually in his hand all along,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
69,1181,0.160904395-->0.425915207,5f5cf02d2a36a4510728d381,5ef7a49312ad194daa2ecefe,APPROVED,58:40.8,09:03.4,622.6,30,10:28.2,3833C7F5,United Kingdom,Female,35,"Sep 12, 2020 11:58:42 am","Sep 12, 2020 12:09:02 pm",Complete,0,0,0,English,0,1599926322_5f5cf0320a6a39.98694024,negative,absent,5ef7a49312ad194daa2ecefe,bill_holiday.response,bill_holiday,response,He gets it returned,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
70,1167,0.9377433270000001-->0.130873105,5f5cef805c73a34ff0a8773f,5e8fa4b58028052a7880c8ac,APPROVED,55:45.0,20:16.7,1471.797,40,09:59.0,3833C7F5,United Kingdom,Male,24,"Sep 12, 2020 11:55:47 am","Sep 12, 2020 12:20:14 pm",Complete,0,0,0,English,0,1599926147_5f5cef83b7a666.87919430,negative,absent,5e8fa4b58028052a7880c8ac,bill_holiday.response,bill_holiday,response,His luggage actually turned up ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
71,1118,0.170428754-->0.202528803,5f5bc4995b5eb43683559a08,5af5d34e25561e00013ab3d7,APPROVED,41:45.6,02:45.1,1259.543,54,58:42.1,40D80FA4,United Kingdom,Female,35,"Sep 11, 2020 2:41:47 pm","Sep 11, 2020 3:02:43 pm",Complete,0,0,0,English,0,1599849707_5f5bc4eb209680.45630015,negative,present,5af5d34e25561e00013ab3d7,bill_holiday.response,bill_holiday,response,someone returns the passport he reported stolen and he can enjoy his holiday now he does not have to get a new one.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
72,1310,0.584153314-->0.616003092,5f5b74da9496f42a3868b33f,5def73f02ae04260076d88f8,APPROVED,00:10.8,13:14.6,783.785,29,16:59.2,4DE9B385,United Kingdom,Male,56,"Sep 11, 2020 9:00:15 am","Sep 11, 2020 9:13:13 am",Complete,0,0,0,English,0,1599829215_5f5b74df965318.19216548,positive,present,5def73f02ae04260076d88f8,bill_holiday.response,bill_holiday,response,The government changes the quarantine policy just prior to Bills return and he loses his job because of it. Bill is now on a permanent holiday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
73,1187,0.9804092109999999-->0.885061236,5f5cf06ff0fc870ad60e2f61,5f0daa621b71130009e9b969,APPROVED,59:49.6,06:08.0,378.364,48,10:40.7,3833C7F5,United Kingdom,Female,41,"Sep 12, 2020 11:59:51 am","Sep 12, 2020 12:06:05 pm",Complete,0,0,0,English,0,1599926391_5f5cf077774ff2.12118617,negative,absent,5f0daa621b71130009e9b969,bill_holiday.response,bill_holiday,response,Bill falls ill on holiday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
74,1104,0.37077236-->0.36791467,5f5bc34f1181c5355385f4f1,5f243136d49d850136696693,APPROVED,35:28.2,53:40.9,1092.755,22,58:15.0,40D80FA4,United States,Male,10,"Sep 11, 2020 2:35:30 pm","Sep 11, 2020 2:53:35 pm",Complete,0,0,0,English,0,1599849330_5f5bc3727e99a8.34376137,negative,present,5f243136d49d850136696693,bill_holiday.response,bill_holiday,response,He has more fun at work than he did on his holiday.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
75,1299,0.10577619699999999-->0.180760193,5f5b66ccf18ff20780af532b,595e7974af78da0001a21c3a,APPROVED,00:16.1,21:56.3,1300.171,44,16:44.0,4DE9B385,United Kingdom,Female,36,"Sep 11, 2020 8:00:18 am","Sep 11, 2020 8:21:53 am",Complete,0,0,0,English,0,1599825617_5f5b66d1f418e6.95750350,positive,present,595e7974af78da0001a21c3a,bill_holiday.response,bill_holiday,response,All the flights get cancelled and he gets stuck at his holiday destination,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
76,1176,0.24775793399999999-->0.9128027670000001,5f5ceffa9adc850b2a4c8ad2,5f2129c9a6dae44937cfcb99,APPROVED,57:46.1,05:32.9,466.766,30,10:17.2,3833C7F5,United Kingdom,Female,28,"Sep 12, 2020 11:57:49 am","Sep 12, 2020 12:05:30 pm",Complete,0,0,0,English,0,1599926269_5f5ceffd292683.91572253,negative,absent,5f2129c9a6dae44937cfcb99,bill_holiday.response,bill_holiday,response,The plane crashes on his way home,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
77,1209,0.6836422390000001-->0.847365967,5f5b8dd0f7a8c72e7f3b15bc,5f310877a901af046cd5f569,APPROVED,46:44.7,29:46.5,2581.765,27,40:12.5,510FA8B2,United Kingdom,Male,11,"Sep 11, 2020 10:46:49 am","Sep 11, 2020 11:29:45 am",Complete,0,0,0,English,0,1599835609_5f5b8dd9408a59.58234306,positive,absent,5f310877a901af046cd5f569,bill_holiday.response,bill_holiday,response,"After getting back home, still without suitcase Bill flops down backwards onto his bed, but instead of feeling a familiar comfort he instead feels something big and hard. Pulling himself back up he looks at his bed and sees his suitcase. He had forgotten to take it in the first place.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
78,1098,0.393259198-->0.575094357,5f5bc29dc81d3636092e13bd,5f0098df68eebf076ed649a4,APPROVED,31:59.6,39:04.7,425.049,44,58:02.4,40D80FA4,United Kingdom,Male,5,"Sep 11, 2020 2:32:01 pm","Sep 11, 2020 2:39:02 pm",Complete,0,0,0,English,0,1599849121_5f5bc2a1c61665.48567357,negative,present,5f0098df68eebf076ed649a4,bill_holiday.response,bill_holiday,response,He got robbed ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
79,1300,0.312470925-->0.9544262990000001,5f5b66d5c90124296edaa829,5995aee73ae1c8000110650d,APPROVED,08:58.5,21:37.4,758.873,40,16:46.2,4DE9B385,United Kingdom,Female,52,"Sep 11, 2020 8:09:02 am","Sep 11, 2020 8:21:34 am",Complete,0,0,0,English,0,1599826142_5f5b68de499051.23018251,positive,present,5995aee73ae1c8000110650d,bill_holiday.response,bill_holiday,response,At the end of the holiday he is informed he has won a prize draw and another holiday for free,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
