,Unnamed: 0,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,material,variable,user_id,material.variable,response,sw_neg_ans1,sw_neg_ans2,sw_neg_ans3,sw_neg_ans4,sw_neg_ans5,sw_neg_ans6,sw_neg_ans7,sw_neg_ans8,sw_neg_ans9,sw_neg_ans10,sw_other,sw_pos_ans1,sw_pos_ans2,sw_pos_ans3,sw_pos_ans4,sw_pos_ans5,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
10,2584,0.9818207990000001-->0.462178872,5f5b653e3341c22960163912,5c0c24711b80df00017827ea,APPROVED,54:06.8,03:20.5,553.792,32,15:25.7,4DE9B385,United Kingdom,Female,13,"Sep 11, 2020 7:54:10 am","Sep 11, 2020 8:03:14 am",Complete,0,0,0,English,0,1599825250_5f5b6562011e46.73435543,positive,present,sally_wine,response,5c0c24711b80df00017827ea,sally_wine.response,Earthquake smashes the wine. She drinks beer instead.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
11,2618,0.483252839-->0.204568408,5f5b67317fa75629a135af88,5dce02a5e10220052b35144a,APPROVED,03:19.3,17:58.0,878.659,29,16:52.9,4DE9B385,United Kingdom,Male,49,"Sep 11, 2020 8:03:21 am","Sep 11, 2020 8:17:55 am",Complete,0,0,0,English,0,1599825801_5f5b6789b9f2b2.14179403,positive,present,sally_wine,response,5dce02a5e10220052b35144a,sally_wine.response,Sally drops the bottle of wine and it smashes.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
12,2544,0.43554803-->0.359260953,5f5b8eca6c83442de4a1f96f,5e5e882ba3b41303aee46e90,APPROVED,50:56.0,25:33.1,2077.147,24,40:55.1,510FA8B2,United Kingdom,Female,30,"Sep 11, 2020 10:51:00 am","Sep 11, 2020 11:25:28 am",Complete,0,0,0,English,0,1599835860_5f5b8ed430fc99.96928355,positive,absent,sally_wine,response,5e5e882ba3b41303aee46e90,sally_wine.response,The neighbour invites sally round for wine. ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
13,2609,0.262689821-->0.113030924,5f5b66ae6c48aa07556fd141,5c3811791ede2b000115555b,APPROVED,59:45.1,11:01.4,676.227,35,16:35.9,4DE9B385,United States,Male,35,"Sep 11, 2020 7:59:46 am","Sep 11, 2020 8:10:58 am",Complete,0,0,0,English,0,1599825586_5f5b66b2ce0642.11886456,positive,present,sally_wine,response,5c3811791ede2b000115555b,sally_wine.response,The neighbor gets hit by a car right in front of Sally's eyes.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
14,2519,0.257692902-->0.399928179,5f5b8c4c46c58b2e9ac2aab0,5e5930b7b2b1bf13a2dcc74a,APPROVED,40:20.9,45:49.7,328.741,30,40:04.7,510FA8B2,United Kingdom,Female,3,"Sep 11, 2020 10:40:23 am","Sep 11, 2020 10:45:47 am",Complete,0,0,0,English,0,1599835223_5f5b8c5715e730.51611116,positive,absent,sally_wine,response,5e5930b7b2b1bf13a2dcc74a,sally_wine.response,The neighbour told her that they had a bottle of wine that Sally could take,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
15,2517,0.730417799-->0.0032545240000000004,5f5b8c4646d1422d8914c71f,5ee0f94d12ce930c1ab1d574,APPROVED,40:09.2,47:04.2,415.029,31,40:00.8,510FA8B2,Ireland,Female,4,"Sep 11, 2020 10:40:11 am","Sep 11, 2020 10:47:02 am",Complete,0,0,0,English,0,1599835211_5f5b8c4b0853e1.69449016,positive,absent,sally_wine,response,5ee0f94d12ce930c1ab1d574,sally_wine.response,her neighbour askes her round for a drink ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
16,2505,0.689824891-->0.27641979699999997,5f5cf0bba5d808500c567e92,5f0e22f2f5e4e1139be7ae38,APPROVED,02:49.4,15:13.9,744.449,27,10:48.9,3833C7F5,United Kingdom,Male,53,"Sep 12, 2020 12:02:54 pm","Sep 12, 2020 12:15:11 pm",Complete,0,0,0,English,0,1599926574_5f5cf12eb310c4.09212717,negative,absent,sally_wine,response,5f0e22f2f5e4e1139be7ae38,sally_wine.response,The neighbour lashes out and hits Sally ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
17,2573,0.033937654-->0.877765745,5f5b63aa5259ed28e139fff0,5c802134433e2d00172ac5d1,APPROVED,46:53.4,52:17.4,324.032,22,15:02.7,4DE9B385,United Kingdom,Female,2,"Sep 11, 2020 7:46:54 am","Sep 11, 2020 7:52:14 am",Complete,0,0,0,English,0,1599824814_5f5b63aeb478a4.21186435,positive,present,sally_wine,response,5c802134433e2d00172ac5d1,sally_wine.response,They didn't have the wine she wanted,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
18,2452,0.38896110100000003-->0.39201313299999996,5f5bc5ebe2534b35c9a08b22,5f4a5983a08b215d74d2cd99,APPROVED,46:03.6,00:05.3,841.706,25,59:23.1,40D80FA4,United Kingdom,Male,47,"Sep 11, 2020 2:46:32 pm","Sep 11, 2020 3:00:01 pm",Complete,0,0,0,English,0,1599849992_5f5bc60832ff99.36860588,negative,present,sally_wine,response,5f4a5983a08b215d74d2cd99,sally_wine.response,"She drinks the whole bottle of wine after her stressful argument with her neighbour, and has to go and buy more. ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
19,2492,0.8463461959999999-->0.284580635,5f5cf01cce878751741a9ab0,5ce50e4054e33d0001189577,APPROVED,58:24.5,09:54.7,690.19,28,10:21.3,3833C7F5,United Kingdom,Female,31,"Sep 12, 2020 11:58:26 am","Sep 12, 2020 12:09:52 pm",Complete,0,0,0,English,0,1599926306_5f5cf02240c875.53987029,negative,absent,sally_wine,response,5ce50e4054e33d0001189577,sally_wine.response,She realises she was wrong and apologises to her neighbour who apologises also.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
