control_code,neg,neither,pos
controllable,0.10388127853881278,0.039383561643835614,0.1113013698630137
neither_control,0.1204337899543379,0.011986301369863013,0.06278538812785388
uncontrollable,0.3430365296803653,0.030251141552511414,0.1769406392694064
