means_condition,valence_condition,neg,pos,neither
absent,negative,0.42727272727272725,0.4954545454545455,0.07727272727272727
absent,positive,0.4636363636363636,0.4409090909090909,0.09545454545454546
present,negative,0.6365740740740741,0.2569444444444444,0.10648148148148148
present,positive,0.7431818181818182,0.20909090909090908,0.04772727272727273
