means_condition,valence_condition,controllable,neither_control,uncontrollable
absent,negative,0.3068181818181818,0.19772727272727272,0.4954545454545455
absent,positive,0.2159090909090909,0.18181818181818182,0.6022727272727273
present,negative,0.27546296296296297,0.2175925925925926,0.5069444444444444
present,positive,0.22045454545454546,0.18409090909090908,0.5954545454545455
