user_id,response,ans_code,ans_count,val_code,val_count,goal_code,goal_count,control_code,control_count,material
5b942e793fe4370001e627e0,The family they have invited phone to say their car has broken down and they might not be able to make it.,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5b9588a921e7200001f59638,Johns wife takes over.,jp_pos_ans4,1,neither,1,goal_object,1,uncontrollable,1,john_party
5bccc1c50f10750001d7d693,He cuts his finger on the peeler,jp_neg_ans1,1,neg,1,goal_object,1,uncontrollable,1,john_party
5bd7b4053dac81000124b592,"His wife is feeling stressed and takes it out on him by having a go at him, despite him doing nothing wrong, and wants to cancel the dinner party. ",jp_neg_ans4,1,neg,1,goal_object,1,uncontrollable,1,john_party
5bdc1c289ab26e0001a46b96,His wife admits to an affair,jp_neg_ans4,1,neg,1,goal_object,1,uncontrollable,1,john_party
5bf2f4028e5b8b00018d9b88,chopped his penis off,jp_neg_ans1,1,neg,1,non_goal_object,1,neither_control,1,john_party
5bfc0eb58422770001d9b668,the dinner is runined!,jp_neg_ans5,1,neg,1,goal_object,1,neither_control,1,john_party
5c0c24711b80df00017827ea,No one turns up to the dinner party. They are forced to reevaluate these friendships.,jp_neg_ans3,1,neg,1,goal_object,1,neither_control,1,john_party
5c1c1e7fdbc4da000164934f,No one turned up,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5c23615d70d93a0001202ea2,john's wife takes over cooking the food and john ends up doing the cleaning up ,jp_pos_ans4,1,pos,1,goal_object,1,neither_control,1,john_party
5c27b1270091e40001ca1d1b,no one comes,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5c3811791ede2b000115555b,John slices his finger while prepping the potatoes.,jp_neg_ans1,1,neg,1,goal_object,1,uncontrollable,1,john_party
5c389923184bfd00010b4ce7,The guests call to cancel,jp_neg_ans3,1,neg,1,non_goal_object,1,uncontrollable,1,john_party
5c3cb9759883d4000141f800,John & his wife have a major fall out and ended up cancelling the dinner party,jp_neg_ans4,1,neg,1,goal_object,1,controllable,1,john_party
5c484b16c41b2a000183c837,john remembers that he has no wife and actually he's been talking to a life size cut out of john cena for years,jp_other,1,neg,1,goal_object,1,controllable,1,john_party
5c4b9e94ad466000019101d6,drops the potatoes on the floor,jp_neg_ans2,1,neg,1,goal_object,1,uncontrollable,1,john_party
5c51d3e6a163ac0001721273,John found the potato peeler in the fridge,jp_pos_ans1,1,neither,1,goal_object,1,controllable,1,john_party
