,user_id,ans_code,ans_count_x,val_code,val_count_x,goal_code,goal_count_x,control_code,control_count_x,material,rater_x,ans_count_y,val_count_y,goal_count_y,control_count_y,rater_y
39,5a0c4184fe645f0001e9f5dd,mt_pos_ans4,1.0,pos,1.0,non_goal_object,1.0,uncontrollable,1.0,michael_breakfast,MQ,1.0,1.0,1.0,1.0,CF
40,56c22e040a25f1000ae56894,mt_neg_ans3,1.0,neg,1.0,neither_object,1.0,uncontrollable,1.0,michael_breakfast,MQ,1.0,1.0,1.0,1.0,CF
41,5a9d8c04b5e2110001c6e15f,mt_neg_ans7,1.0,neg,1.0,neither_object,1.0,uncontrollable,1.0,michael_breakfast,MQ,1.0,1.0,1.0,1.0,CF
42,5f3db7144e27441d7f9f3ec0,mt_other1,1.0,neg,1.0,non_goal_object,1.0,controllable,1.0,michael_breakfast,MQ,1.0,1.0,1.0,1.0,CF
43,57bdd76370808a00012d9829,mt_pos_ans1,1.0,pos,1.0,goal_object,1.0,uncontrollable,1.0,michael_breakfast,MQ,1.0,1.0,1.0,1.0,CF
44,5d6e5990e77e580001531bc9,mt_pos_ans5,1.0,pos,1.0,non_goal_object,1.0,controllable,1.0,michael_breakfast,MQ,1.0,1.0,1.0,1.0,CF
45,5e6590b83b1ae1317a3230a9,mt_pos_ans4,,pos,,non_goal_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
46,5c3811791ede2b000115555b,mt_neg_ans7,,neg,,neither_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
47,5ac888369534ba0001c763e1,mt_other1,,neither,,neither_object,,neither_control,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
48,5e2586948ab7d17d602025c4,mt_neg_ans7,,neg,,goal_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
49,5f06f38a859dcb278b6e92f7,mt_neg_ans3,,neg,,neither_object,,neither_control,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
50,5e9b6317fab83b069d085560,mt_neg_ans4,,neg,,neither_object,,neither_control,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
51,5ce9b0e4be5a6b00163f6870,mt_other1,,neg,,goal_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
52,5f502f77b2c26c1a4d6a7e59,mt_pos_ans6,,neg,,goal_object,,controllable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
53,5e97039d77e41b023228fa5a,mt_pos_ans4,,pos,,both_objects,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
54,5a0c4184fe645f0001e9f5dd,mt_pos_ans4,,pos,,non_goal_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
55,56c22e040a25f1000ae56894,mt_neg_ans3,,neg,,neither_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
56,5a9d8c04b5e2110001c6e15f,mt_neg_ans7,,neg,,neither_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
57,5f3db7144e27441d7f9f3ec0,mt_other1,,neg,,non_goal_object,,controllable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
58,57bdd76370808a00012d9829,mt_pos_ans1,,pos,,goal_object,,uncontrollable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
59,5d6e5990e77e580001531bc9,mt_pos_ans5,,pos,,non_goal_object,,controllable,,belinda_meeting,,1.0,1.0,1.0,1.0,CF
60,5e6590b83b1ae1317a3230a9,mt_pos_ans4,,pos,,non_goal_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
61,5c3811791ede2b000115555b,mt_neg_ans7,,neg,,neither_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
62,5ac888369534ba0001c763e1,mt_other1,,neither,,neither_object,,neither_control,,bill_holiday,,1.0,1.0,1.0,1.0,CF
63,5e2586948ab7d17d602025c4,mt_neg_ans7,,neg,,goal_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
64,5f06f38a859dcb278b6e92f7,mt_neg_ans3,,neg,,neither_object,,neither_control,,bill_holiday,,1.0,1.0,1.0,1.0,CF
65,5e9b6317fab83b069d085560,mt_neg_ans4,,neg,,neither_object,,neither_control,,bill_holiday,,1.0,1.0,1.0,1.0,CF
66,5ce9b0e4be5a6b00163f6870,mt_other1,,neg,,goal_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
67,5f502f77b2c26c1a4d6a7e59,mt_pos_ans6,,neg,,goal_object,,controllable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
68,5e97039d77e41b023228fa5a,mt_pos_ans4,,pos,,both_objects,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
69,5a0c4184fe645f0001e9f5dd,mt_pos_ans4,,pos,,non_goal_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
70,56c22e040a25f1000ae56894,mt_neg_ans3,,neg,,neither_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
71,5a9d8c04b5e2110001c6e15f,mt_neg_ans7,,neg,,neither_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
72,5f3db7144e27441d7f9f3ec0,mt_other1,,neg,,non_goal_object,,controllable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
73,57bdd76370808a00012d9829,mt_pos_ans1,,pos,,goal_object,,uncontrollable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
74,5d6e5990e77e580001531bc9,mt_pos_ans5,,pos,,non_goal_object,,controllable,,bill_holiday,,1.0,1.0,1.0,1.0,CF
